Title,Chunk,Metadata
Gladiator,"Gladiator (2000) is a action film directed by Ridley Scott. Featuring David Franzoni, John Logan, William Nicholson, this movie has an IMDb rating of 8.5/10 and a MetaScore of 67.0. With a runtime of 155 minutes, it is rated R.","{'Title': 'Gladiator', 'IMDb Rating': 8.5, 'Year': 2000, 'Certificates': 'R', 'Director': 'Ridley Scott', 'Star Cast': 'David Franzoni,John Logan,William Nicholson', 'MetaScore': 67.0, 'Duration (minutes)': 155.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'David Franzoni', 'Actor 2': 'John Logan', 'Actor 3': 'William Nicholson', 'Actor 4': '', 'Actor 5': ''}"
Mission: Impossible - Dead Reckoning Part One,"Mission: Impossible - Dead Reckoning Part One (2023) is a action film directed by Christopher McQuarrie. Featuring Tom Cruise, Hayley Atwell, Ving Rhames, this movie has an IMDb rating of 7.7/10 and a MetaScore of 81.0. With a runtime of 163 minutes, it is rated PG-13.","{'Title': 'Mission: Impossible - Dead Reckoning Part One', 'IMDb Rating': 7.7, 'Year': 2023, 'Certificates': 'PG-13', 'Director': 'Christopher McQuarrie', 'Star Cast': 'Tom Cruise,Hayley Atwell,Ving Rhames', 'MetaScore': 81.0, 'Duration (minutes)': 163.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tom Cruise', 'Actor 2': 'Hayley Atwell', 'Actor 3': 'Ving Rhames', 'Actor 4': '', 'Actor 5': ''}"
Inglourious Basterds,"Inglourious Basterds (2009) is a adventure film directed by Quentin Tarantino. Featuring Brad Pitt, Diane Kruger, Eli Roth, this movie has an IMDb rating of 8.4/10 and a MetaScore of 69.0. With a runtime of 153 minutes, it is rated R.","{'Title': 'Inglourious Basterds', 'IMDb Rating': 8.4, 'Year': 2009, 'Certificates': 'R', 'Director': 'Quentin Tarantino', 'Star Cast': 'Brad Pitt,Diane Kruger,Eli Roth', 'MetaScore': 69.0, 'Duration (minutes)': 153.0, 'Genres': 'Adventure', 'Genre 1': 'Adventure', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Brad Pitt', 'Actor 2': 'Diane Kruger', 'Actor 3': 'Eli Roth', 'Actor 4': '', 'Actor 5': ''}"
The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Fellowship of the Ring (2001) is a action film directed by Peter Jackson. Featuring J.R.R. TolkienFran Walsh, Philippa Boyens, this movie has an IMDb rating of 8.9/10 and a MetaScore of 92.0. With a runtime of 178 minutes, it is rated PG-13.","{'Title': 'The Lord of the Rings: The Fellowship of the Ring', 'IMDb Rating': 8.9, 'Year': 2001, 'Certificates': 'PG-13', 'Director': 'Peter Jackson', 'Star Cast': 'J.R.R. TolkienFran Walsh,Philippa Boyens', 'MetaScore': 92.0, 'Duration (minutes)': 178.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'J.R.R. TolkienFran Walsh', 'Actor 2': 'Philippa Boyens', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Damsel,"Damsel (2024) is a action film directed by Juan Carlos Fresnadillo. Featuring Millie Bobby, Brown Ray, Winstone Angela, and others, this movie has an IMDb rating of 6.1/10 and a MetaScore of 46.0. With a runtime of 110 minutes, it is rated PG-13.","{'Title': 'Damsel', 'IMDb Rating': 6.1, 'Year': 2024, 'Certificates': 'PG-13', 'Director': 'Juan Carlos Fresnadillo', 'Star Cast': 'Millie Bobby,Brown Ray,Winstone Angela,Bassett', 'MetaScore': 46.0, 'Duration (minutes)': 110.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Millie Bobby', 'Actor 2': 'Brown Ray', 'Actor 3': 'Winstone Angela', 'Actor 4': 'Bassett', 'Actor 5': ''}"
Arthur the King,"Arthur the King (2024) is a adventure film directed by Simon Cellan Jones. Featuring Mark Wahlberg, Simu Liu, Juliet Rylance, this movie has an IMDb rating of 7.0/10 and a MetaScore of 54.0. With a runtime of 107 minutes, it is rated PG-13.","{'Title': 'Arthur the King', 'IMDb Rating': 7.0, 'Year': 2024, 'Certificates': 'PG-13', 'Director': 'Simon Cellan Jones', 'Star Cast': 'Mark Wahlberg,Simu Liu,Juliet Rylance', 'MetaScore': 54.0, 'Duration (minutes)': 107.0, 'Genres': 'Adventure', 'Genre 1': 'Adventure', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mark Wahlberg', 'Actor 2': 'Simu Liu', 'Actor 3': 'Juliet Rylance', 'Actor 4': '', 'Actor 5': ''}"
Golden Kamuy,"Golden Kamuy (2024) is a action film directed by Shigeaki Kubo. Featuring Kento Yamazaki, Anna Yamada, Yûma Yamoto, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Golden Kamuy', 'IMDb Rating': 6.3, 'Year': 2024, 'Certificates': 'R', 'Director': 'Shigeaki Kubo', 'Star Cast': 'Kento Yamazaki,Anna Yamada,Yûma Yamoto', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Kento Yamazaki', 'Actor 2': 'Anna Yamada', 'Actor 3': 'Yûma Yamoto', 'Actor 4': '', 'Actor 5': ''}"
WALL·E,"WALL·E (2008) is a animation film directed by Andrew Stanton. Featuring Ben Burtt, this movie has an IMDb rating of 8.4/10 and a MetaScore of 95.0. With a runtime of 98 minutes, it is rated G.","{'Title': 'WALL·E', 'IMDb Rating': 8.4, 'Year': 2008, 'Certificates': 'G', 'Director': 'Andrew Stanton', 'Star Cast': 'Ben Burtt', 'MetaScore': 95.0, 'Duration (minutes)': 98.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Ben Burtt', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Spider-Man: Beyond the Spider-Verse,"Spider-Man: Beyond the Spider-Verse (2015) is a animation film directed by Joaquim Dos Santos. Featuring Shameik Moore, Hailee Steinfeld, Brian Tyree, and others, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R.","{'Title': 'Spider-Man: Beyond the Spider-Verse', 'IMDb Rating': 7.1, 'Year': 2015, 'Certificates': 'R', 'Director': 'Joaquim Dos Santos', 'Star Cast': 'Shameik Moore,Hailee Steinfeld,Brian Tyree,Henry', 'MetaScore': 66.9, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Shameik Moore', 'Actor 2': 'Hailee Steinfeld', 'Actor 3': 'Brian Tyree', 'Actor 4': 'Henry', 'Actor 5': ''}"
Hercules,"Hercules (1997) is a animation film directed by Ron Clements. Featuring Tate Donovan, this movie has an IMDb rating of 7.3/10 and a MetaScore of 74.0. With a runtime of 93 minutes, it is rated G.","{'Title': 'Hercules', 'IMDb Rating': 7.3, 'Year': 1997, 'Certificates': 'G', 'Director': 'Ron Clements', 'Star Cast': 'Tate Donovan', 'MetaScore': 74.0, 'Duration (minutes)': 93.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tate Donovan', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Sing,"Sing (2016) is a animation film directed by Garth Jennings. Featuring Matthew Mc, Conaughey, this movie has an IMDb rating of 7.1/10 and a MetaScore of 59.0. With a runtime of 108 minutes, it is rated PG.","{'Title': 'Sing', 'IMDb Rating': 7.1, 'Year': 2016, 'Certificates': 'PG', 'Director': 'Garth Jennings', 'Star Cast': 'Matthew Mc,Conaughey', 'MetaScore': 59.0, 'Duration (minutes)': 108.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Matthew Mc', 'Actor 2': 'Conaughey', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Castle in the Sky,"Castle in the Sky (1986) is a animation film directed by Hayao Miyazaki. Featuring Mayumi Tanaka, this movie has an IMDb rating of 8.0/10 and a MetaScore of 78.0. With a runtime of 125 minutes, it is rated PG.","{'Title': 'Castle in the Sky', 'IMDb Rating': 8.0, 'Year': 1986, 'Certificates': 'PG', 'Director': 'Hayao Miyazaki', 'Star Cast': 'Mayumi Tanaka', 'MetaScore': 78.0, 'Duration (minutes)': 125.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mayumi Tanaka', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
"Monsters, Inc.","Monsters, Inc. (2001) is a animation film directed by Pete Docter. Featuring Billy Crystal, this movie has an IMDb rating of 8.1/10 and a MetaScore of 79.0. With a runtime of 92 minutes, it is rated G.","{'Title': 'Monsters, Inc.', 'IMDb Rating': 8.1, 'Year': 2001, 'Certificates': 'G', 'Director': 'Pete Docter', 'Star Cast': 'Billy Crystal', 'MetaScore': 79.0, 'Duration (minutes)': 92.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Billy Crystal', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Tangled,"Tangled (2010) is a animation film directed by Nathan Greno. Featuring Mandy Moore, this movie has an IMDb rating of 7.7/10 and a MetaScore of 71.0. With a runtime of 100 minutes, it is rated PG.","{'Title': 'Tangled', 'IMDb Rating': 7.7, 'Year': 2010, 'Certificates': 'PG', 'Director': 'Nathan Greno', 'Star Cast': 'Mandy Moore', 'MetaScore': 71.0, 'Duration (minutes)': 100.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Mandy Moore', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Up,"Up (2009) is a animation film directed by Pete Docter. Featuring Edward Asner, this movie has an IMDb rating of 8.3/10 and a MetaScore of 88.0. With a runtime of 96 minutes, it is rated PG.","{'Title': 'Up', 'IMDb Rating': 8.3, 'Year': 2009, 'Certificates': 'PG', 'Director': 'Pete Docter', 'Star Cast': 'Edward Asner', 'MetaScore': 88.0, 'Duration (minutes)': 96.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Edward Asner', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Toy Story,"Toy Story (1995) is a animation film directed by John Lasseter. Featuring Tom Hanks, this movie has an IMDb rating of 8.3/10 and a MetaScore of 96.0. With a runtime of 81 minutes, it is rated G.","{'Title': 'Toy Story', 'IMDb Rating': 8.3, 'Year': 1995, 'Certificates': 'G', 'Director': 'John Lasseter', 'Star Cast': 'Tom Hanks', 'MetaScore': 96.0, 'Duration (minutes)': 81.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tom Hanks', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Puss in Boots: The Last Wish,"Puss in Boots: The Last Wish (2022) is a animation film directed by Joel Crawford. Featuring Antonio Banderas, this movie has an IMDb rating of 7.8/10 and a MetaScore of 73.0. With a runtime of 102 minutes, it is rated PG.","{'Title': 'Puss in Boots: The Last Wish', 'IMDb Rating': 7.8, 'Year': 2022, 'Certificates': 'PG', 'Director': 'Joel Crawford', 'Star Cast': 'Antonio Banderas', 'MetaScore': 73.0, 'Duration (minutes)': 102.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Antonio Banderas', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Encanto,"Encanto (2021) is a animation film directed by Jared Bush. Featuring Stephanie Beatriz, this movie has an IMDb rating of 7.2/10 and a MetaScore of 75.0. With a runtime of 102 minutes, it is rated PG.","{'Title': 'Encanto', 'IMDb Rating': 7.2, 'Year': 2021, 'Certificates': 'PG', 'Director': 'Jared Bush', 'Star Cast': 'Stephanie Beatriz', 'MetaScore': 75.0, 'Duration (minutes)': 102.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Stephanie Beatriz', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Coco,"Coco (2017) is a animation film directed by Lee Unkrich. Featuring Anthony Gonzalez, this movie has an IMDb rating of 8.4/10 and a MetaScore of 81.0. With a runtime of 105 minutes, it is rated PG.","{'Title': 'Coco', 'IMDb Rating': 8.4, 'Year': 2017, 'Certificates': 'PG', 'Director': 'Lee Unkrich', 'Star Cast': 'Anthony Gonzalez', 'MetaScore': 81.0, 'Duration (minutes)': 105.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Anthony Gonzalez', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Frozen,"Frozen (2013) is a animation film directed by Chris Buck. Featuring Kristen Bell, this movie has an IMDb rating of 7.4/10 and a MetaScore of 75.0. With a runtime of 102 minutes, it is rated PG.","{'Title': 'Frozen', 'IMDb Rating': 7.4, 'Year': 2013, 'Certificates': 'PG', 'Director': 'Chris Buck', 'Star Cast': 'Kristen Bell', 'MetaScore': 75.0, 'Duration (minutes)': 102.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Kristen Bell', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Mufasa: The Lion King,"Mufasa: The Lion King (2024) is a animation film directed by Barry Jenkins. Featuring Linda Woolverton, Irene Mecchi, Jonathan Roberts, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R.","{'Title': 'Mufasa: The Lion King', 'IMDb Rating': 7.1, 'Year': 2024, 'Certificates': 'R', 'Director': 'Barry Jenkins', 'Star Cast': 'Linda Woolverton,Irene Mecchi,Jonathan Roberts', 'MetaScore': 66.9, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Linda Woolverton', 'Actor 2': 'Irene Mecchi', 'Actor 3': 'Jonathan Roberts', 'Actor 4': '', 'Actor 5': ''}"
Howl's Moving Castle,"Howl's Moving Castle (2004) is a animation film directed by Hayao Miyazaki. Featuring Chieko Baishô, this movie has an IMDb rating of 8.2/10 and a MetaScore of 82.0. With a runtime of 119 minutes, it is rated PG.","{'Title': ""Howl's Moving Castle"", 'IMDb Rating': 8.2, 'Year': 2004, 'Certificates': 'PG', 'Director': 'Hayao Miyazaki', 'Star Cast': 'Chieko Baishô', 'MetaScore': 82.0, 'Duration (minutes)': 119.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Chieko Baishô', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Zootopia,"Zootopia (2016) is a animation film directed by Byron Howard. Featuring Ginnifer Goodwin, this movie has an IMDb rating of 8.0/10 and a MetaScore of 78.0. With a runtime of 108 minutes, it is rated PG.","{'Title': 'Zootopia', 'IMDb Rating': 8.0, 'Year': 2016, 'Certificates': 'PG', 'Director': 'Byron Howard', 'Star Cast': 'Ginnifer Goodwin', 'MetaScore': 78.0, 'Duration (minutes)': 108.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Ginnifer Goodwin', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Teenage Mutant Ninja Turtles: Mutant Mayhem,"Teenage Mutant Ninja Turtles: Mutant Mayhem (2023) is a animation film directed by Jeff Rowe. Featuring Micah Abbey, this movie has an IMDb rating of 7.2/10 and a MetaScore of 74.0. With a runtime of 99 minutes, it is rated PG.","{'Title': 'Teenage Mutant Ninja Turtles: Mutant Mayhem', 'IMDb Rating': 7.2, 'Year': 2023, 'Certificates': 'PG', 'Director': 'Jeff Rowe', 'Star Cast': 'Micah Abbey', 'MetaScore': 74.0, 'Duration (minutes)': 99.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Micah Abbey', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Kung Fu Panda,"Kung Fu Panda (2008) is a animation film directed by Mark Osborne. Featuring Jack Black, this movie has an IMDb rating of 7.6/10 and a MetaScore of 74.0. With a runtime of 92 minutes, it is rated PG.","{'Title': 'Kung Fu Panda', 'IMDb Rating': 7.6, 'Year': 2008, 'Certificates': 'PG', 'Director': 'Mark Osborne', 'Star Cast': 'Jack Black', 'MetaScore': 74.0, 'Duration (minutes)': 92.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Jack Black', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Mars Express,"Mars Express (2023) is a animation film directed by Jérémie Périn. Featuring Léa Drucker, Mathieu Amalric, Daniel Njo, and others, this movie has an IMDb rating of 7.5/10 and a MetaScore of 76.0. With a runtime of 88 minutes, it is rated Not Rated.","{'Title': 'Mars Express', 'IMDb Rating': 7.5, 'Year': 2023, 'Certificates': 'Not Rated', 'Director': 'Jérémie Périn', 'Star Cast': 'Léa Drucker,Mathieu Amalric,Daniel Njo,Lobé', 'MetaScore': 76.0, 'Duration (minutes)': 88.0, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Léa Drucker', 'Actor 2': 'Mathieu Amalric', 'Actor 3': 'Daniel Njo', 'Actor 4': 'Lobé', 'Actor 5': ''}"
Your Name.,"Your Name. (2016) is a animation film directed by Makoto Shinkai. Featuring Makoto Shinkai, Clark Cheng, this movie has an IMDb rating of 8.4/10 and a MetaScore of 81.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Your Name.', 'IMDb Rating': 8.4, 'Year': 2016, 'Certificates': 'R', 'Director': 'Makoto Shinkai', 'Star Cast': 'Makoto Shinkai,Clark Cheng', 'MetaScore': 81.0, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Makoto Shinkai', 'Actor 2': 'Clark Cheng', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
The Lord of the Rings: The War of the Rohirrim,"The Lord of the Rings: The War of the Rohirrim (2024) is a animation film directed by Kenji Kamiyama. Featuring Jeffrey Addiss, Phoebe Gittins, Will Matthews, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.9. With a runtime of 116 minutes, it is rated R.","{'Title': 'The Lord of the Rings: The War of the Rohirrim', 'IMDb Rating': 7.1, 'Year': 2024, 'Certificates': 'R', 'Director': 'Kenji Kamiyama', 'Star Cast': 'Jeffrey Addiss,Phoebe Gittins,Will Matthews', 'MetaScore': 66.9, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Jeffrey Addiss', 'Actor 2': 'Phoebe Gittins', 'Actor 3': 'Will Matthews', 'Actor 4': '', 'Actor 5': ''}"
Taxi Driver,"Taxi Driver (1976) is a crime film directed by Martin Scorsese. Featuring Robert De, Niro Jodie, Foster Cybill, and others, this movie has an IMDb rating of 8.2/10 and a MetaScore of 94.0. With a runtime of 114 minutes, it is rated R.","{'Title': 'Taxi Driver', 'IMDb Rating': 8.2, 'Year': 1976, 'Certificates': 'R', 'Director': 'Martin Scorsese', 'Star Cast': 'Robert De,Niro Jodie,Foster Cybill,Shepherd', 'MetaScore': 94.0, 'Duration (minutes)': 114.0, 'Genres': 'Crime', 'Genre 1': 'Crime', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Robert De', 'Actor 2': 'Niro Jodie', 'Actor 3': 'Foster Cybill', 'Actor 4': 'Shepherd', 'Actor 5': ''}"
Kill Bill: Vol. 1,"Kill Bill: Vol. 1 (2003) is a action film directed by Quentin Tarantino. Featuring Quentin Tarantino, Uma Thurman, this movie has an IMDb rating of 8.2/10 and a MetaScore of 69.0. With a runtime of 111 minutes, it is rated R.","{'Title': 'Kill Bill: Vol. 1', 'IMDb Rating': 8.2, 'Year': 2003, 'Certificates': 'R', 'Director': 'Quentin Tarantino', 'Star Cast': 'Quentin Tarantino,Uma Thurman', 'MetaScore': 69.0, 'Duration (minutes)': 111.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Quentin Tarantino', 'Actor 2': 'Uma Thurman', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
We're the Millers,"We're the Millers (2013) is a comedy film directed by Rawson Marshall Thurber. Featuring Bob Fisher, Steve, Faber Sean, and others, this movie has an IMDb rating of 7.0/10 and a MetaScore of 44.0. With a runtime of 110 minutes, it is rated R.","{'Title': ""We're the Millers"", 'IMDb Rating': 7.0, 'Year': 2013, 'Certificates': 'R', 'Director': 'Rawson Marshall Thurber', 'Star Cast': 'Bob Fisher,Steve,Faber Sean,Anders', 'MetaScore': 44.0, 'Duration (minutes)': 110.0, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Bob Fisher', 'Actor 2': 'Steve', 'Actor 3': 'Faber Sean', 'Actor 4': 'Anders', 'Actor 5': ''}"
The Green Mile,"The Green Mile (1999) is a crime film directed by Frank Darabont. Featuring Tom Hanks, Michael Clarke, Duncan David, and others, this movie has an IMDb rating of 8.6/10 and a MetaScore of 61.0. With a runtime of 189 minutes, it is rated R.","{'Title': 'The Green Mile', 'IMDb Rating': 8.6, 'Year': 1999, 'Certificates': 'R', 'Director': 'Frank Darabont', 'Star Cast': 'Tom Hanks,Michael Clarke,Duncan David,Morse', 'MetaScore': 61.0, 'Duration (minutes)': 189.0, 'Genres': 'Crime', 'Genre 1': 'Crime', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Tom Hanks', 'Actor 2': 'Michael Clarke', 'Actor 3': 'Duncan David', 'Actor 4': 'Morse', 'Actor 5': ''}"
Animal,"Animal (2023) is a action film directed by Sandeep Reddy Vanga. Featuring Suresh Bandaru, Saurabh Gupta, Pranay Reddy, and others, this movie has an IMDb rating of 6.2/10 and a MetaScore of 33.0. With a runtime of 204 minutes, it is rated Not Rated.","{'Title': 'Animal', 'IMDb Rating': 6.2, 'Year': 2023, 'Certificates': 'Not Rated', 'Director': 'Sandeep Reddy Vanga', 'Star Cast': 'Suresh Bandaru,Saurabh Gupta,Pranay Reddy,Vanga', 'MetaScore': 33.0, 'Duration (minutes)': 204.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Suresh Bandaru', 'Actor 2': 'Saurabh Gupta', 'Actor 3': 'Pranay Reddy', 'Actor 4': 'Vanga', 'Actor 5': ''}"
Prisoners,"Prisoners (2013) is a crime film directed by Denis Villeneuve. Featuring Hugh Jackman, Jake Gyllenhaal, Viola Davis, this movie has an IMDb rating of 8.2/10 and a MetaScore of 70.0. With a runtime of 153 minutes, it is rated R.","{'Title': 'Prisoners', 'IMDb Rating': 8.2, 'Year': 2013, 'Certificates': 'R', 'Director': 'Denis Villeneuve', 'Star Cast': 'Hugh Jackman,Jake Gyllenhaal,Viola Davis', 'MetaScore': 70.0, 'Duration (minutes)': 153.0, 'Genres': 'Crime', 'Genre 1': 'Crime', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Hugh Jackman', 'Actor 2': 'Jake Gyllenhaal', 'Actor 3': 'Viola Davis', 'Actor 4': '', 'Actor 5': ''}"
12 Angry Men,"12 Angry Men (1957) is a crime film directed by Sidney Lumet. Featuring Reginald Rose, this movie has an IMDb rating of 9.0/10 and a MetaScore of 97.0. With a runtime of 96 minutes, it is rated Approved.","{'Title': '12 Angry Men', 'IMDb Rating': 9.0, 'Year': 1957, 'Certificates': 'Approved', 'Director': 'Sidney Lumet', 'Star Cast': 'Reginald Rose', 'MetaScore': 97.0, 'Duration (minutes)': 96.0, 'Genres': 'Crime', 'Genre 1': 'Crime', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Reginald Rose', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Joker,"Joker (2019) is a crime film directed by Todd Phillips. Featuring Todd Phillips, Scott Silver, Bob Kane, this movie has an IMDb rating of 8.4/10 and a MetaScore of 59.0. With a runtime of 122 minutes, it is rated R.","{'Title': 'Joker', 'IMDb Rating': 8.4, 'Year': 2019, 'Certificates': 'R', 'Director': 'Todd Phillips', 'Star Cast': 'Todd Phillips,Scott Silver,Bob Kane', 'MetaScore': 59.0, 'Duration (minutes)': 122.0, 'Genres': 'Crime', 'Genre 1': 'Crime', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Todd Phillips', 'Actor 2': 'Scott Silver', 'Actor 3': 'Bob Kane', 'Actor 4': '', 'Actor 5': ''}"
Sicario,"Sicario (2015) is a action film directed by Denis Villeneuve. Featuring Emily Blunt, Josh Brolin, Benicio Del, and others, this movie has an IMDb rating of 7.7/10 and a MetaScore of 82.0. With a runtime of 121 minutes, it is rated R.","{'Title': 'Sicario', 'IMDb Rating': 7.7, 'Year': 2015, 'Certificates': 'R', 'Director': 'Denis Villeneuve', 'Star Cast': 'Emily Blunt,Josh Brolin,Benicio Del,Toro', 'MetaScore': 82.0, 'Duration (minutes)': 121.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Emily Blunt', 'Actor 2': 'Josh Brolin', 'Actor 3': 'Benicio Del', 'Actor 4': 'Toro', 'Actor 5': ''}"
Baby Driver,"Baby Driver (2017) is a action film directed by Edgar Wright. Featuring Ansel Elgort, Jon Bernthal, Jon Hamm, this movie has an IMDb rating of 7.5/10 and a MetaScore of 86.0. With a runtime of 113 minutes, it is rated R.","{'Title': 'Baby Driver', 'IMDb Rating': 7.5, 'Year': 2017, 'Certificates': 'R', 'Director': 'Edgar Wright', 'Star Cast': 'Ansel Elgort,Jon Bernthal,Jon Hamm', 'MetaScore': 86.0, 'Duration (minutes)': 113.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Ansel Elgort', 'Actor 2': 'Jon Bernthal', 'Actor 3': 'Jon Hamm', 'Actor 4': '', 'Actor 5': ''}"
Léon: The Professional,"Léon: The Professional (1994) is a action film directed by Luc Besson. Featuring Jean Reno, Gary Oldman, Natalie Portman, this movie has an IMDb rating of 8.5/10 and a MetaScore of 64.0. With a runtime of 110 minutes, it is rated R.","{'Title': 'Léon: The Professional', 'IMDb Rating': 8.5, 'Year': 1994, 'Certificates': 'R', 'Director': 'Luc Besson', 'Star Cast': 'Jean Reno,Gary Oldman,Natalie Portman', 'MetaScore': 64.0, 'Duration (minutes)': 110.0, 'Genres': 'Action', 'Genre 1': 'Action', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Jean Reno', 'Actor 2': 'Gary Oldman', 'Actor 3': 'Natalie Portman', 'Actor 4': '', 'Actor 5': ''}"
