Title,Chunk,Metadata
"Mirror, Mirror","Mirror, Mirror (2010) is a fantasy film directed by Raven Thibodeaux. Featuring Raven Thibodeaux, this movie has an IMDb rating of 6.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Mirror, Mirror', 'IMDb Rating': 6.2, 'Year': 2010, 'Certificates': 'R', 'Director': 'Raven Thibodeaux', 'Star Cast': 'Raven Thibodeaux', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Fantasy', 'Genre 1': 'Fantasy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Raven Thibodeaux', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Turn,"Turn (2001) is a drama film directed by Hideyuki Hirayama. Featuring Riho Makise, Kankurô Nakamura, Akira Emoto, this movie has an IMDb rating of 7.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Turn', 'IMDb Rating': 7.0, 'Year': 2001, 'Certificates': 'R', 'Director': 'Hideyuki Hirayama', 'Star Cast': 'Riho Makise,Kankurô Nakamura,Akira Emoto', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Riho Makise', 'Actor 2': 'Kankurô Nakamura', 'Actor 3': 'Akira Emoto', 'Actor 4': '', 'Actor 5': ''}"
Pedejais bledis,"Pedejais bledis (1966) is a comedy film directed by Yan Ebner. Featuring Nikolay Gubenko, Sergey Filippov, Anastasiya Georgievskaya, this movie has an IMDb rating of 5.6/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Pedejais bledis', 'IMDb Rating': 5.6, 'Year': 1966, 'Certificates': 'R', 'Director': 'Yan Ebner', 'Star Cast': 'Nikolay Gubenko,Sergey Filippov,Anastasiya Georgievskaya', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Nikolay Gubenko', 'Actor 2': 'Sergey Filippov', 'Actor 3': 'Anastasiya Georgievskaya', 'Actor 4': '', 'Actor 5': ''}"
TapeWorm,"TapeWorm (2009) is a horror film directed by Brian Hirschbine. Featuring Carson Buchanan, John Evans, J.C., and others, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 115 minutes, it is rated Not Rated.","{'Title': 'TapeWorm', 'IMDb Rating': 6.0, 'Year': 2009, 'Certificates': 'Not Rated', 'Director': 'Brian Hirschbine', 'Star Cast': 'Carson Buchanan,John Evans,J.C.,Howe', 'MetaScore': 66.0, 'Duration (minutes)': 115.0, 'Genres': 'Horror', 'Genre 1': 'Horror', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Carson Buchanan', 'Actor 2': 'John Evans', 'Actor 3': 'J.C.', 'Actor 4': 'Howe', 'Actor 5': ''}"
"Bikini-Blitzkrieg, Part One: Dance Domination","Bikini-Blitzkrieg, Part One: Dance Domination (2006) is a sci-fi film directed by Donald Takeshita-Guy. Featuring Olivia Lee, Ty Glaser, Matthew, and others, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Bikini-Blitzkrieg, Part One: Dance Domination', 'IMDb Rating': 6.0, 'Year': 2006, 'Certificates': 'R', 'Director': 'Donald Takeshita-Guy', 'Star Cast': 'Olivia Lee,Ty Glaser,Matthew,Butler-Hart', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Olivia Lee', 'Actor 2': 'Ty Glaser', 'Actor 3': 'Matthew', 'Actor 4': 'Butler-Hart', 'Actor 5': ''}"
Ke xue shao nü,"Ke xue shao nü (2022) is a drama film directed by Ching Shen Chuang. Featuring Iain Lu, Yi Ti, Yao Kingone, and others, this movie has an IMDb rating of 6.4/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Ke xue shao nü', 'IMDb Rating': 6.4, 'Year': 2022, 'Certificates': 'R', 'Director': 'Ching Shen Chuang', 'Star Cast': 'Iain Lu,Yi Ti,Yao Kingone,Wang', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Iain Lu', 'Actor 2': 'Yi Ti', 'Actor 3': 'Yao Kingone', 'Actor 4': 'Wang', 'Actor 5': ''}"
Heroes Manufactured,"Heroes Manufactured (2016) is a documentary film directed by Yaron Betan. Featuring Yaron Betan, this movie has an IMDb rating of 8.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Heroes Manufactured', 'IMDb Rating': 8.2, 'Year': 2016, 'Certificates': 'R', 'Director': 'Yaron Betan', 'Star Cast': 'Yaron Betan', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Documentary', 'Genre 1': 'Documentary', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Yaron Betan', 'Actor 2': '', 'Actor 3': '', 'Actor 4': '', 'Actor 5': ''}"
Aoki Hagane no Arpeggio: Ars Nova DC,"Aoki Hagane no Arpeggio: Ars Nova DC (2015) is a animation film directed by Hiroyuki Endô. Featuring Hiroyuki EndôMai, Fuchigami Saki, Fujita, this movie has an IMDb rating of 6.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Aoki Hagane no Arpeggio: Ars Nova DC', 'IMDb Rating': 6.3, 'Year': 2015, 'Certificates': 'R', 'Director': 'Hiroyuki Endô', 'Star Cast': 'Hiroyuki EndôMai,Fuchigami Saki,Fujita', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Hiroyuki EndôMai', 'Actor 2': 'Fuchigami Saki', 'Actor 3': 'Fujita', 'Actor 4': '', 'Actor 5': ''}"
Elage,"Elage (1989) is a sci-fi film directed by Jahangir Zeynally. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 7.3/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Elage', 'IMDb Rating': 7.3, 'Year': 1989, 'Certificates': 'R', 'Director': 'Jahangir Zeynally', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Sci-Fi', 'Genre 1': 'Sci-Fi', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
Six-Hundred & Sixty Six,"Six-Hundred & Sixty Six (1972) is a drama film directed by Tom Doades. Featuring Joe Turkel, Byron Clark, John, and others, this movie has an IMDb rating of 5.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Six-Hundred & Sixty Six', 'IMDb Rating': 5.2, 'Year': 1972, 'Certificates': 'R', 'Director': 'Tom Doades', 'Star Cast': ""Joe Turkel,Byron Clark,John,O'Connell"", 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Joe Turkel', 'Actor 2': 'Byron Clark', 'Actor 3': 'John', 'Actor 4': ""O'Connell"", 'Actor 5': ''}"
Murderous Tales,"Murderous Tales (2016) is a animation film directed by Jan Bubenicek. Featuring Antonín Jan, Abrhám Josef, Jan Abrhám, and others, this movie has an IMDb rating of 5.8/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Murderous Tales', 'IMDb Rating': 5.8, 'Year': 2016, 'Certificates': 'R', 'Director': 'Jan Bubenicek', 'Star Cast': 'Antonín Jan,Abrhám Josef,Jan Abrhám,Jan Bubenicek', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Antonín Jan', 'Actor 2': 'Abrhám Josef', 'Actor 3': 'Jan Abrhám', 'Actor 4': 'Jan Bubenicek', 'Actor 5': ''}"
Aurora,"Aurora (2015) is a drama film directed by Guilherme Grosso. Featuring Carolina Carvalho, João Da, Costa André, and others, this movie has an IMDb rating of 6.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Aurora', 'IMDb Rating': 6.0, 'Year': 2015, 'Certificates': 'R', 'Director': 'Guilherme Grosso', 'Star Cast': 'Carolina Carvalho,João Da,Costa André,Faria', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Carolina Carvalho', 'Actor 2': 'João Da', 'Actor 3': 'Costa André', 'Actor 4': 'Faria', 'Actor 5': ''}"
Condition,"Condition (2011) is a drama film directed by Andrei Severny. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 7.1/10 and a MetaScore of 66.0. With a runtime of 70 minutes, it is rated Not Rated.","{'Title': 'Condition', 'IMDb Rating': 7.1, 'Year': 2011, 'Certificates': 'Not Rated', 'Director': 'Andrei Severny', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 70.0, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
Kureji da yo: kisôtengai,"Kureji da yo: kisôtengai (1966) is a comedy film directed by Takashi Tsuboshima. Featuring Kei Tani, Yuriko Hoshi, Hitoshi Ueki, this movie has an IMDb rating of 7.2/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Kureji da yo: kisôtengai', 'IMDb Rating': 7.2, 'Year': 1966, 'Certificates': 'R', 'Director': 'Takashi Tsuboshima', 'Star Cast': 'Kei Tani,Yuriko Hoshi,Hitoshi Ueki', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Kei Tani', 'Actor 2': 'Yuriko Hoshi', 'Actor 3': 'Hitoshi Ueki', 'Actor 4': '', 'Actor 5': ''}"
Noejeolgaesul,"Noejeolgaesul (2005) is a horror film directed by Gok Kim. Featuring Daniel Radcliffe, Emma Watson, Rupert Grint, this movie has an IMDb rating of 5.0/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Noejeolgaesul', 'IMDb Rating': 5.0, 'Year': 2005, 'Certificates': 'R', 'Director': 'Gok Kim', 'Star Cast': 'Daniel Radcliffe,Emma Watson,Rupert Grint', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Horror', 'Genre 1': 'Horror', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Daniel Radcliffe', 'Actor 2': 'Emma Watson', 'Actor 3': 'Rupert Grint', 'Actor 4': '', 'Actor 5': ''}"
Annette,"Annette (2018) is a comedy film directed by Richard Dursley. Featuring Janey Hayes, Alex Nunns, Daz Thomas, this movie has an IMDb rating of 7.9/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Annette', 'IMDb Rating': 7.9, 'Year': 2018, 'Certificates': 'R', 'Director': 'Richard Dursley', 'Star Cast': 'Janey Hayes,Alex Nunns,Daz Thomas', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Janey Hayes', 'Actor 2': 'Alex Nunns', 'Actor 3': 'Daz Thomas', 'Actor 4': '', 'Actor 5': ''}"
Ascension of the Demonoids,"Ascension of the Demonoids (1985) is a horror film directed by George Kuchar. Featuring Rock Ross, Magdalen Ross, David Hallinger, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Ascension of the Demonoids', 'IMDb Rating': 6.7, 'Year': 1985, 'Certificates': 'R', 'Director': 'George Kuchar', 'Star Cast': 'Rock Ross,Magdalen Ross,David Hallinger', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Horror', 'Genre 1': 'Horror', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Rock Ross', 'Actor 2': 'Magdalen Ross', 'Actor 3': 'David Hallinger', 'Actor 4': '', 'Actor 5': ''}"
Maken Liner 0011 Henshin Seyo!,"Maken Liner 0011 Henshin Seyo! (1972) is a animation film directed by Takeshi Tamiya. Featuring Sachiko Chijimatsu, Yonehiko Kitagawa, Haruko Kitahama, this movie has an IMDb rating of 5.4/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Maken Liner 0011 Henshin Seyo!', 'IMDb Rating': 5.4, 'Year': 1972, 'Certificates': 'R', 'Director': 'Takeshi Tamiya', 'Star Cast': 'Sachiko Chijimatsu,Yonehiko Kitagawa,Haruko Kitahama', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Animation', 'Genre 1': 'Animation', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Sachiko Chijimatsu', 'Actor 2': 'Yonehiko Kitagawa', 'Actor 3': 'Haruko Kitahama', 'Actor 4': '', 'Actor 5': ''}"
Kultur Shock!,"Kultur Shock! (2013) is a mystery film directed by Todd Osleger. Featuring Eric Paul, Chapman Maureen, O'Malley Terry, and others, this movie has an IMDb rating of 6.5/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Kultur Shock!', 'IMDb Rating': 6.5, 'Year': 2013, 'Certificates': 'R', 'Director': 'Todd Osleger', 'Star Cast': ""Eric Paul,Chapman Maureen,O'Malley Terry,Mc Navage"", 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Mystery', 'Genre 1': 'Mystery', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Eric Paul', 'Actor 2': 'Chapman Maureen', 'Actor 3': ""O'Malley Terry"", 'Actor 4': 'Mc Navage', 'Actor 5': ''}"
Lint the Movie,"Lint the Movie (2011) is a biography film directed by Steve Aylett. Featuring Alan Moore, Stewart Lee, Josie Long, this movie has an IMDb rating of 6.8/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Lint the Movie', 'IMDb Rating': 6.8, 'Year': 2011, 'Certificates': 'R', 'Director': 'Steve Aylett', 'Star Cast': 'Alan Moore,Stewart Lee,Josie Long', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Biography', 'Genre 1': 'Biography', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Alan Moore', 'Actor 2': 'Stewart Lee', 'Actor 3': 'Josie Long', 'Actor 4': '', 'Actor 5': ''}"
Le futur aux trousses,"Le futur aux trousses (1975) is a comedy film directed by Dolorès Grassian. Featuring Bernard Fresson, Claude Rich, Andréa Ferréol, this movie has an IMDb rating of 5.4/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Le futur aux trousses', 'IMDb Rating': 5.4, 'Year': 1975, 'Certificates': 'R', 'Director': 'Dolorès Grassian', 'Star Cast': 'Bernard Fresson,Claude Rich,Andréa Ferréol', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Comedy', 'Genre 1': 'Comedy', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Bernard Fresson', 'Actor 2': 'Claude Rich', 'Actor 3': 'Andréa Ferréol', 'Actor 4': '', 'Actor 5': ''}"
Terra incognita,"Terra incognita (1994) is a drama film directed by Yiannis Typaldos. Featuring Oleg Yankovskiy, Pyotr Mamonov, Tatyana Lyutaeva, this movie has an IMDb rating of 6.7/10 and a MetaScore of 66.0. With a runtime of 116 minutes, it is rated R.","{'Title': 'Terra incognita', 'IMDb Rating': 6.7, 'Year': 1994, 'Certificates': 'R', 'Director': 'Yiannis Typaldos', 'Star Cast': 'Oleg Yankovskiy,Pyotr Mamonov,Tatyana Lyutaeva', 'MetaScore': 66.0, 'Duration (minutes)': 116.3, 'Genres': 'Drama', 'Genre 1': 'Drama', 'Genre 2': '', 'Genre 3': '', 'Actor 1': 'Oleg Yankovskiy', 'Actor 2': 'Pyotr Mamonov', 'Actor 3': 'Tatyana Lyutaeva', 'Actor 4': '', 'Actor 5': ''}"
